Vial_ID,Cruise,Vessel,Haul,Sex,CW ,CH_CC,Crab_Wgt ,HepatoTray_WT,Hepato_WWT,Hepato_DWT,MuscleTray_WT,Muscle_WWT,Muscle_DWT,Process_Date,Notes
AKK-6,202202,162,1,2,45.12,0,32,,,,,,,,
AKK-7,202202,162,1,2,50.31,0,41,,,,,,,,
AKK-8,202202,162,1,2,45.45,0,31,,,,,,,,
AKK-9,202202,162,1,2,43.03,0,25,,,,,,,,
AKK-10,202202,162,1,2,43.78,0,28,,,,,,,,
AKK-11,202202,162,2,2,45.29,0,33,,,,,,,,
AKK-12,202202,162,2,2,48.7,0,39,,,,,,,,
AKK-13,202202,162,2,2,46.46,0,34,,,,,,,,
AKK-14,202202,162,2,2,47.32,0,38,,,,,,,,
AKK-15,202202,162,2,2,48.22,0,37,,,,,,,,
AKK-16,202202,162,2,2,46.38,0,35,,,,,,,,
AKK-17,202202,162,2,1,54.25,9.4,62,,,,,,,,
AKK-18,202202,162,2,1,52.92,9.12,54,,,,,,,,
AKK-19,202202,162,2,1,63.85,11.36,89,,,,,,,,
AKK-20,202202,162,2,1,55.61,9.68,66,,,,,,,,
AKK-21,202202,162,3,2,43.64,0,26,,,,,,,,
AKK-22,202202,162,3,2,48.65,0,39,,,,,,,,
AKK-23,202202,162,3,2,45.21,0,29,,,,,,,,
AKK-24,202202,162,3,2,44.24,0,25,,,,,,,,
AKK-25,202202,162,3,2,46.75,0,31,,,,,,,,
AKK-26,202202,162,3,1,61.41,10.93,88,,,,,,,,
AKK-27,202202,162,3,1,58.1,10.08,71,,,,,,,,
AKK-28,202202,162,3,1,65.83,10.52,98,,,,,,,,
AKK-29,202202,162,3,1,54.37,9.09,58,,,,,,,,
AKK-30,202202,162,3,1,55.6,9.68,67,,,,,,,,
AKK-31,202202,162,4,1,64.47,11.47,95,,,,,,,,
AKK-32,202202,162,4,2,50.36,0,40,,,,,,,,
AKK-33,202202,162,4,1,56.22,8.77,64,,,,,,,,
AKK-34,202202,162,4,2,45.01,0,31,,,,,,,,
AKK-35,202202,162,4,1,56.18,9.3,60,,,,,,,,
AKK-36,202202,162,4,2,45.13,0,29,,,,,,,,
AKK-37,202202,162,4,2,46.41,0,35,,,,,,,,
AKK-38,202202,162,4,2,47.26,0,33,,,,,,,,
AKK-39,202202,162,6,1,55.76,8.73,61,,,,,,,,
AKK-40,202202,162,6,2,46.74,0,33,,,,,,,,
AKK-41,202202,162,20,1,58.69,9.38,73,,,,,,,,
AKK-42,202202,162,20,1,52.65,9.62,61,,,,,,,,
AKK-43,202202,162,20,1,50.02,8.46,44,,,,,,,,
AKK-44,202202,162,15,2,54.94,0,56,,,,,,,,bitter
AKK-45,202202,162,15,2,52.44,0,46,,,,,,,,
AKK-46,202202,162,15,2,55.97,0,57,,,,,,,,
AKK-47,202202,162,14,1,55.86,9.45,67,,,,,,,,
AKK-48,202202,162,14,1,51.63,8.12,51,,,,,,,,
AKK-49,202202,162,14,1,57.26,9.66,70,,,,,,,,
AKK-50,202202,162,14,1,54.3,10.11,65,,,,,,,,
AKK-51,202202,162,21,2,40.98,0,24,,,,,,,,
AKK-52,202202,162,21,1,47.16,7.11,37,,,,,,,,bitter
AKK-53,202202,162,21,1,49.83,5.66,44,,,,,,,,bitter
AKK-54,202202,162,23,1,50.57,8.43,52,,,,,,,,
AKK-55,202202,162,23,1,59.01,9.48,77,,,,,,,,
AKK-56,202202,162,23,2,43.74,0,27,,,,,,,,
AKK-57,202202,162,23,1,52.39,8.55,52,,,,,,,,
AKK-58,202202,162,23,2,44.06,0,27,,,,,,,,
AKK-59,202202,162,23,2,46.35,0,33,,,,,,,,
AKK-60,202202,162,23,2,44.57,0,29,,,,,,,,
AKK-61,202202,162,39,1,54.79,8.86,62,,,,,,,,
AKK-62,202202,162,39,1,54.43,9.04,61,,,,,,,,
AKK-63,202202,162,39,1,45.83,7.6,34,,,,,,,,
AKK-64,202202,162,39,2,46.35,0,33,,,,,,,,
AKK-65,202202,162,39,2,46.88,0,35,,,,,,,,
AKK-66,202202,162,39,2,44.96,0,33,,,,,,,,
AKK-67,202202,162,39,2,43.43,0,29,,,,,,,,
AKK-68,202202,162,36,1,60.36,12.03,85,,,,,,,,
AKK-69,202202,162,36,1,54.2,10.55,61,,,,,,,,
AKK-70,202202,162,36,1,55.56,8.75,59,,,,,,,,
AKK-71,202202,162,36,2,49.24,0,38,,,,,,,,
AKK-72,202202,162,36,2,46.92,0,37,,,,,,,,
AKK-73,202202,162,36,2,45.09,0,30,,,,,,,,
AKK-74,202202,162,36,2,42.08,0,29,,,,,,,,
AKK-75,202202,162,36,2,40.16,0,23,,,,,,,,
AKK-76,202202,162,36,1,53.7,8.48,59,,,,,,,,
AKK-77,202202,162,36,1,52.05,8.8,54,,,,,,,,
AKK-78,202202,162,43,2,47.45,0,41,,,,,,,,
AKK-79,202202,162,43,2,44.28,0,33,,,,,,,,
AKK-80,202202,162,43,2,46.54,0,36,,,,,,,,
AKK-81,202202,162,40,1,52.59,8.74,58,,,,,,,,
AKK-82,202202,162,40,1,55.49,10.36,72,,,,,,,,
AKK-83,202202,162,22,1,57.07,9.03,68,,,,,,,,
AKK-84,202202,162,22,1,48.91,7.44,36,,,,,,,,
AKK-85,202202,162,22,1,46.69,6.94,29,,,,,,,,
AKK-86,202202,162,22,1,47.68,7.61,36,,,,,,,,
AKK-87,202202,162,22,1,44.72,6.84,29,,,,,,,,
AKK-88,202202,162,22,1,47.56,7.7,32,,,,,,,,
AKK-89,202202,162,22,1,45.91,7.24,32,,,,,,,,
AKK-90,202202,162,31,1,51.19,10.6,52,,,,,,,,
AKK-161,202201,162,120,1,84.28,15.07,234,,,,,,,,close to molting
AKK-162,202201,162,123,1,98.91,18.48,348,,,,,,,,
AKK-163,202201,162,186,2,41.01,0,29,,,,,,,,
AKK-164,202201,162,192,2,46.06,0,32,,,,,,,,
AKK-165,202201,162,124,1,93.41,17.06,231,,,,,,,,
AKK-166,202201,162,193,1,74.52,13.26,159,,,,,,,,
AKK-167,202201,162,192,2,57.73,0,66,,,,,,,,
AKK-168,202201,162,192,2,52.02,0,47,,,,,,,,
AKK-169,202201,162,192,2,59.76,0,72,,,,,,,,
AKK-170,202201,162,126,1,90.57,17.17,337,,,,,,,,
AKK-171,202201,162,190,1,99.08,18.71,364,,,,,,,,
AKK-172,202201,162,150,1,99.68,18.86,342,,,,,,,,
AKK-173,202201,162,193,1,72.52,13.68,145,,,,,,,,
AKK-174,202201,162,129,1,94.22,17.41,340,,,,,,,,
AKK-175,202201,162,186,2,32,0,43.7,,,,,,,,
AKK-177,202201,162,164,1,75.45,13.44,163,,,,,,,,
AKK-178,202201,162,157,1,75.68,13.24,187,,,,,,,,
AKK-179,202201,162,151,1,89.51,16.56,265,,,,,,,,
AKK-180,202201,162,193,2,56.2,0,60,,,,,,,,
AKK-181,202201,162,192,1,113.18,22.52,591,,,,,,,,
AKK-182,202201,162,151,1,83.96,16.71,252,,,,,,,,
AKK-183,202201,162,190,1,107.01,21.31,451,,,,,,,,
AKK-184,202201,162,128,1,93.14,18.31,211,,,,,,,,
AKK-185,202201,162,151,1,75.34,12.28,159,,,,,,,,
AKK-186,202201,162,153,1,94.9,19.13,374,,,,,,,,
AKK-188,202201,162,186,2,58.05,0,71,,,,,,,,
AKK-190,202201,162,151,1,78.44,14.23,195,,,,,,,,
AKK-191,202201,162,192,2,47.61,0,25,,,,,,,,
AKK-192,202201,162,151,1,85.78,14.12,241,,,,,,,,
AKK-193,202201,162,127,1,104.35,19.36,397,,,,,,,,
AKK-194,202201,162,127,1,98.57,18.28,268,,,,,,,,
AKK-195,202201,162,151,1,80.79,19.49,194,,,,,,,,
AKK-196,202201,162,189,1,84.07,13.27,191,,,,,,,,
AKK-197,202201,162,192,2,51.71,0,45,,,,,,,,
AKK-198,202201,162,127,1,95.81,17.86,256,,,,,,,,
AKK-199,202201,162,127,1,96.21,17.5,220,,,,,,,,
AKK-200,202201,162,123,1,87.15,15.57,NA,,,,,,,,
VA-1,202201,94,110,2,59.11,0,NA,,,,,,,,
VA-2,202201,94,94,2,50.31,0,NA,,,,,,,,
VA-3,202201,94,94,2,52.4,0,NA,,,,,,,,
VA-4,202201,94,115,1,85.13,16.39,NA,,,,,,,,molting
VA-5,202201,94,134,1,76.8,15.33,186,,,,,,,,
VA-6,202201,94,94,2,53.77,0,NA,,,,,,,,
VA-7,202201,94,116,2,48.03,0,NA,,,,,,,,
VA-8,202201,94,112,1,91.56,16.92,NA,,,,,,,,SC3- skip molt?
VA-9,202201,94,110,2,47.25,0,34,,,,,,,,
VA-10,202201,94,136,1,90.56,14.37,NA,,,,,,,,
VA-11,202201,94,136,1,74.13,10.66,NA,,,,,,,,
VA-12,202201,94,112,2,51.4,0,NA,,,,,,,,
VA-13,202201,94,137,1,82.5,12.78,186,,,,,,,,
VA-14,202201,94,97,2,45.47,0,NA,,,,,,,,
VA-15,202201,94,94,2,49.17,0,NA,,,,,,,,
VA-16,202201,94,94,2,49.47,0,NA,,,,,,,,
VA-17,202201,94,142,1,84.01,11.15,222,,,,,,,,
VA-18,202201,94,117,2,53.74,0,NA,,,,,,,,
VA-19,202201,94,142,1,71.89,10.38,148,,,,,,,,
VA-20,202201,94,93,2,50.38,0,NA,,,,,,,,
VA-21,202201,94,138,1,73,11.05,128,,,,,,,,
VA-22,202201,94,107,1,93.06,16.66,NA,,,,,,,,
VA-23,202201,94,138,1,73.13,10.12,124,,,,,,,,
VA-24,202201,94,116,2,50.48,0,NA,,,,,,,,
VA-25,202201,94,142,2,57.41,0,NA,,,,,,,,
VA-26,202201,94,142,1,70.75,10.18,124,,,,,,,,
VA-27,202201,94,112,2,46.02,0,NA,,,,,,,,
VA-28,202201,94,140,1,75.04,12.58,146,,,,,,,,
VA-29,202201,94,142,2,56.36,0,58,,,,,,,,
VA-30,202201,94,135,1,92.7,18.74,328,,,,,,,,
VA-31,202201,94,135,1,71.72,11.92,138,,,,,,,,
VA-32,202201,94,142,1,73.24,10.9,NA,,,,,,,,
VA-33,202201,94,142,1,79.32,12.53,174,,,,,,,,
VA-34,202201,94,142,2,60.02,0,66,,,,,,,,
VA-35,202201,94,138,1,74.69,11.27,144,,,,,,,,
VA-36,202201,94,142,1,78.2,11.87,184,,,,,,,,
VA-37,202201,94,116,2,43.71,0,NA,,,,,,,,
VA-38,202201,94,138,1,85.92,13.37,202,,,,,,,,
VA-39,202201,94,138,1,78.46,11.95,176,,,,,,,,
VA-40,202201,94,138,1,77.42,11.01,164,,,,,,,,
VA-41,202201,94,149,2,54.39,0,52,,,,,,,,
VA-42,202201,94,143,1,76.53,12.17,172,,,,,,,,
VA-43,202201,94,148,2,51.15,0,NA,,,,,,,,
VA-44,202201,94,156,2,55.66,0,NA,,,,,,,,
VA-45,202201,94,156,1,80.16,12.22,162,,,,,,,,
VA-46,202201,94,156,2,49.03,0,40,,,,,,,,
VA-47,202201,94,148,2,49.58,0,NA,,,,,,,,
VA-48,202201,94,148,2,48.21,0,NA,,,,,,,,
VA-49,202201,94,148,1,74.39,10.7,NA,,,,,,,,
VA-50,202201,94,149,2,50.95,0,42,,,,,,,,
VA-51,202201,94,147,2,52.25,0,46,,,,,,,,
VA-52,202201,94,144,1,72.14,10.42,NA,,,,,,,,
VA-53,202201,94,143,1,83.19,11.75,220,,,,,,,,
VA-54,202201,94,143,1,84.07,12.55,216,,,,,,,,
VA-55,202201,94,155,2,47.76,0,32,,,,,,,,
VA-56,202201,94,156,1,72.44,10.59,130,,,,,,,,
VA-57,202201,94,148,2,48.21,0,36,,,,,,,,
VA-58,202201,94,139,1,71.07,12.97,150,,,,,,,,
VA-59,202201,94,147,1,75.99,13.85,170,,,,,,,,
VA-60,202201,94,143,1,83.67,12.89,NA,,,,,,,,
VA-61,202201,94,156,1,76.71,11.31,158,,,,,,,,
VA-62,202201,94,154,2,48.69,0,NA,,,,,,,,
VA-63,202201,94,143,1,78.09,12.31,184,,,,,,,,
VA-64,202201,94,147,1,85.2,13.62,198,,,,,,,,
VA-65,202201,94,155,2,47.69,0,36,,,,,,,,
VA-66,202201,94,147,2,52.51,0,48,,,,,,,,
VA-67,202201,94,148,2,47.35,0,34,,,,,,,,
VA-68,202201,94,147,2,45.25,0,30,,,,,,,,
VA-69,202201,94,155,2,49.78,0,NA,,,,,,,,
VA-70,202201,94,147,2,51.16,0,46,,,,,,,,
VA-71,202201,94,147,2,49.39,0,NA,,,,,,,,
VA-72,202201,94,156,1,75.63,11.43,156,,,,,,,,
VA-73,202201,94,148,2,54.48,0,NA,,,,,,,,
VA-74,202201,94,143,1,73.82,10.33,142,,,,,,,,
VA-75,202201,94,156,1,74.13,11.32,140,,,,,,,,
VA-76,202201,94,148,2,49.67,0,NA,,,,,,,,
VA-77,202201,94,156,1,80.54,12.61,186,,,,,,,,
VA-78,202201,94,148,1,75.86,14.24,180,,,,,,,,
VA-79,202201,94,140,2,45.49,0,NA,,,,,,,,
VA-80,202201,94,155,2,46.87,0,36,,,,,,,,
VA-81,202201,94,154,2,81.61,0,NA,,,,,,,,
VA-82,202201,94,154,2,47.69,0,30,,,,,,,,
VA-83,202201,94,154,2,48.16,0,NA,,,,,,,,
VA-84,202201,94,154,2,50.44,0,NA,,,,,,,,
VA-85,202201,94,179,1,87.2,16.43,280,,,,,,,,
VA-86,202201,94,178,2,59.74,0,NA,,,,,,,,
VA-87,202201,94,184,1,92.03,15.13,306,,,,,,,,
VA-88,202201,94,184,2,46.51,0,38,,,,,,,,
VA-89,202201,94,187,2,55.58,0,60,,,,,,,,
VA-90,202201,94,187,2,60.22,0,72,,,,,,,,
VA-91,202201,94,190,2,51.43,0,NA,,,,,,,,
VA-92,202201,94,190,1,65.17,13.49,NA,,,,,,,,
VA-93,202201,94,191,1,102.73,16.94,NA,,,,,,,,
VA-94,202201,94,191,1,79.32,11.05,NA,,,,,,,,
VA-95,202201,94,191,1,94.73,14.33,NA,,,,,,,,
VA-96,202201,94,192,2,50.05,0,44,,,,,,,,
VA-97,202201,94,192,2,50.8,0,46,,,,,,,,
VA-98,202201,94,192,2,56.04,0,60,,,,,,,,
VA-99,202201,94,192,2,52.34,0,50,,,,,,,,
VA-100,202201,94,192,2,49.8,0,42,,,,,,,,
VA-101,202201,94,192,2,56.48,0,60,,,,,,,,
VA-102,202201,94,194,2,51.46,0,48,,,,,,,,
VA-103,202201,94,194,2,47.62,0,42,,,,,,,,
VA-104,202202,94,25,2,43.82,0,30,,,,,,,,
VA-105,202202,94,24,1,51.48,10.55,58,,,,,,,,
VA-106,202202,94,22,1,54.22,9.53,NA,,,,,,,,
VA-107,202202,94,25,2,41,0,24,,,,,,,,
VA-108,202202,94,24,2,40.63,0,NA,,,,,,,,
VA-109,202202,94,24,2,41.98,0,24,,,,,,,,
VA-110,202202,94,25,2,41.69,0,NA,,,,,,,,
VA-111,202202,94,25,2,43.21,0,30,,,,,,,,
VA-112,202202,94,26,2,53.39,0,NA,,,,,,,,
VA-113,202202,94,25,2,43.15,0,NA,,,,,,,,
VA-114,202202,94,24,2,43.33,0,28,,,,,,,,
VA-115,202202,94,22,2,40.49,0,22,,,,,,,,
VA-116,202202,94,26,2,47.31,0,36,,,,,,,,
VA-117,202202,94,25,2,44.75,0,30,,,,,,,,
VA-118,202202,94,26,1,50.49,8.51,NA,,,,,,,,
VA-119,202202,94,25,2,42.02,0,24,,,,,,,,
VA-120,202202,94,24,2,40.65,0,26,,,,,,,,
VA-128,202202,94,38,1,53.58,10.79,NA,,,,,,,,
VA-130,202202,94,27,2,52.88,0,52,,,,,,,,
VA-133,202202,94,24,2,42.38,0,30,,,,,,,,
VA-134,202202,94,24,2,43.22,0,30,,,,,,,,
VA-135,202202,94,38,1,50.29,8.59,52,,,,,,,,
VA-137,202202,94,38,2,45.85,0,36,,,,,,,,
VA-138,202202,94,38,2,51.82,0,48,,,,,,,,
VA-139,202202,94,28,1,61.99,10.11,92,,,,,,,,
VA-141,202202,94,38,2,43.71,0,32,,,,,,,,
VA-142,202202,94,38,2,46.35,0,38,,,,,,,,
VA-143,202202,94,27,1,51.23,8.46,50,,,,,,,,
VA-144,202202,94,27,2,51.39,0,46,,,,,,,,
VA-145,202202,94,38,1,50.06,8.14,NA,,,,,,,,
VA-146,202202,94,27,1,52.69,8.94,56,,,,,,,,
VA-147,202202,94,27,2,50.97,0,46,,,,,,,,
VA-148,202202,94,38,2,56.06,0,60,,,,,,,,
VA-150,202202,94,28,1,55.27,10.56,70,,,,,,,,
VA-151,202202,94,27,1,54.04,9,62,,,,,,,,
VA-152,202202,94,23,1,54.58,9.07,NA,,,,,,,,
VA-153,202202,94,24,2,40.31,0,24,,,,,,,,
VA-154,202202,94,27,2,51.51,0,46,,,,,,,,
VA-155,202202,94,27,1,52.97,9.42,58,,,,,,,,
VA-156,202202,94,27,2,55.44,0,60,,,,,,,,
VA-158,202202,94,28,1,55.41,12.2,72,,,,,,,,
VA-160,202202,94,27,1,50.53,8.66,54,,,,,,,,
