Vial_ID,Cruise,Vessel,Haul,Sex,CW ,CH_CC,Crab_Wgt ,HepatoTray_WT,Hepato_WWT,Hepato_DWT,MuscleTray_WT,Muscle_WWT,Muscle_DWT,Process_Date,Notes
2019-141,201902,162,2,2,55.78,0,52.8082,1.3231,1.8539,1.4941,1.3166,1.8619,1.4167,5/7/2021,
2019-142,201902,162,2,2,60.03,0,74.1742,1.3256,2.0607,1.5658,1.3065,1.8527,1.3928,5/7/2021,
2019-143,201902,162,2,2,57.71,0,61.3622,1.3139,2.2893,1.5372,1.3138,2.0043,1.4245,5/7/2021,
2019-144,201902,162,2,2,57.9,0,59.9038,1.323,2.1157,1.5312,1.3279,2.0512,1.4544,5/7/2021,
2019-145,201902,162,2,2,59.34,0,57.0401,1.3231,2.3927,1.5786,1.3163,1.8571,1.3991,5/7/2021,R8
2019-146,201902,162,2,2,56.35,0,53.9176,1.3157,2.068,1.538,1.3011,1.8126,1.3893,5/7/2021,R8
2019-150,201902,162,46,2,54.37,0,52.6454,1.3276,1.8361,1.5356,1.3097,1.7528,1.3917,5/11/2021,R8
2019-152,201902,162,46,2,50.24,0,42.8829,1.3293,1.9043,1.5052,1.3223,1.6768,1.3846,5/11/2021,R8
2019-153,201902,162,46,2,57.46,0,59.2625,1.3091,1.998,1.4698,1.3138,1.9075,1.4314,5/11/2021,R8
2019-155,201902,162,46,2,57.26,0,63.1628,1.3154,1.965,1.4993,1.3194,1.8063,1.3964,5/11/2021,R8
2019-156,201902,162,46,2,54.65,0,52.71,1.3223,2.0579,1.5067,1.3229,2.0899,1.4138,5/11/2021,R8
2019-157,201902,162,46,2,51.17,0,47.1899,1.3233,1.9537,1.4713,1.3265,1.707,1.3897,5/11/2021,R8
2019-17,201901,162,177,2,53.46,0,50.8,1.2666,2.2953,1.517,1.2738,1.9163,1.4331,3/19/2021,R12
2019-171,201901,94,126,2,52.34,0,47.552,1.2877,2.1415,1.5122,1.2914,1.5735,1.3427,5/18/2021,R3
2019-172,201901,94,126,2,54.38,0,47.4084,1.29,1.8334,1.4778,1.2791,1.6556,1.3544,5/18/2021,R3
2019-173,201901,94,126,2,57.96,0,61.8707,1.2807,2.2853,1.5504,1.277,1.8483,1.3795,5/18/2021,R3
2019-174,201901,94,126,2,54.51,0,50.7052,1.2836,1.9772,1.5208,1.2843,1.7937,1.3834,5/18/2021,R3
2019-180,201902,162,20,2,56.27,0,55.0765,1.2697,1.8779,1.4533,1.2827,1.8737,1.3803,5/19/2021,R12
2019-181,201902,162,20,2,49.02,0,41.7499,1.2746,2.0457,1.5143,1.2804,1.6845,1.3644,5/19/2021,R12
2019-182,201902,162,20,2,49.5,0,41.8407,1.2688,1.7841,1.4565,1.2682,1.7547,1.3661,5/19/2021,R12
2019-183,201902,162,20,2,55.49,0,55.048,1.284,1.9045,1.4852,1.2778,1.7231,1.3732,5/19/2021,R12
2019-184,201902,162,20,2,57.94,0,69.9369,1.2825,2.1171,1.5788,1.2753,1.7918,1.3826,5/19/2021,R12
2019-185,201901,162,163,2,50.19,0,38.4494,1.2713,1.8607,1.332,1.2811,1.8822,1.3868,5/19/2021,
2019-186,201902,162,1,2,58.03,0,49.2423,1.2867,2.1144,1.4789,1.2798,1.853,1.3798,5/19/2021,
2019-27,201901,94,168,2,50.89,0,41.4,1.2732,1.9774,1.4881,1.2789,1.8288,1.3958,3/22/2021,R123
2019-28,201901,94,166,2,53.78,0,45.7,1.2808,2.2616,1.5145,1.2722,1.8377,1.3754,3/22/2021,R123
2019-29,201901,94,168,2,54.56,0,48.7,1.2773,1.969,1.5195,1.2912,1.9752,1.433,3/22/2021,R123
2019-30,201901,94,171,2,64,0,84.3,1.288,1.9395,1.4505,1.2575,2.0856,1.4112,3/22/2021,R12
2019-31,201901,94,167,2,51.87,0,43.8,1.2939,1.9151,1.4308,1.293,1.9682,1.422,3/22/2021,R12
2019-32,201901,94,171,2,52.59,0,47.7,1.2912,1.945,1.4125,1.289,1.9326,1.3773,3/22/2021,
2019-33,201901,94,166,2,53.3,0,47.2,1.287,2.039,1.4078,1.2754,1.7662,1.3628,3/24/2021,R123
2019-34,201901,94,166,2,50.14,0,42.1,1.2814,1.8198,1.363,1.2738,2.0025,1.4157,3/24/2021,R123
2019-35,201901,94,167,2,53.3,0,49.4,1.2883,1.7987,1.3752,1.2907,1.9405,1.4121,3/24/2021,R123
2019-36,201901,94,167,2,50.64,0,42.2,1.2898,2.1229,1.3756,1.285,1.9699,1.4195,3/24/2021,R123
2019-37,201901,94,167,2,50.51,0,41.4,1.2991,1.8336,1.3908,1.2851,1.8528,1.392,3/24/2021,R123
2019-38,201901,94,168,2,54.81,0,53.1,1.2913,2.1161,1.5351,1.2829,1.8202,1.4008,3/24/2021,R123
2019-39,201901,94,168,2,52.41,0,46.9,1.2848,2.3961,1.4501,1.2965,1.9026,1.4092,3/24/2021,R123
2019-40,201901,94,168,2,50.19,0,43.6,1.2838,1.9903,1.4007,1.2737,1.7962,1.3634,3/24/2021,R123
2019-48,201902,94,1,2,47.83,0,37.5,1.2815,1.7936,1.4026,1.2849,1.8535,1.3873,3/26/2021,R123
2019-49,201902,94,1,2,51.55,0,47.7,1.2684,1.8599,1.4471,1.2785,1.8377,1.3699,3/26/2021,R123
2019-50,201902,94,1,2,51.45,0,43,1.2854,1.9689,1.4587,1.2901,1.9736,1.4271,3/26/2021,R123
2019-51,201902,94,1,2,49.08,0,39.6,1.2884,1.7617,1.4207,1.2857,1.8271,1.381,3/30/2021,R123
2019-52,201902,94,1,2,48.59,0,38.4,1.287,1.8626,1.3894,1.2741,2.0641,1.4187,3/30/2021,R123
2019-53,201902,94,1,2,43.24,0,28,1.2823,1.912,1.4899,1.2897,1.7922,1.3915,3/30/2021,R123
2019-54,201902,94,1,2,49.9,0,39.3,1.2879,1.8198,1.44,1.2644,1.7807,1.3615,3/30/2021,R123
2019-55,201902,94,1,2,48.16,0,38.9,1.29,1.8516,1.5041,1.2876,1.7854,1.3921,3/30/2021,R123
2019-56,201902,94,1,2,50.22,0,40.1,1.2903,1.9308,1.4203,1.2662,1.9316,1.3897,3/30/2021,R123
2019-57,201902,94,1,2,52.24,0,44.8,1.2786,1.8265,1.4248,1.2753,1.9319,1.3982,3/30/2021,R123
2019-58,201902,94,1,2,42.88,0,24.8,1.2591,1.8572,1.3924,1.2808,1.7778,1.3797,3/30/2021,R123
2019-59,201902,94,1,2,51.3,0,45.1,1.2758,1.8567,1.4232,1.2526,1.8556,1.3566,3/30/2021,R123
2019-60,201902,94,1,2,56.04,0,56.1,1.283,2.067,1.5153,1.2809,1.8467,1.3838,3/30/2021,R123
2019-61,201902,94,1,2,51.76,0,44.5,1.2711,1.812,1.4215,1.2991,1.8233,1.3971,3/30/2021,R123
2019-62,201902,162,1,2,53.71,0,47.3,1.3029,1.8591,1.4573,1.2744,1.8935,1.3823,3/30/2021,R123
2019-65,201901,162,178,2,74.64,0,135.1,1.2808,2.2129,1.5995,1.2803,2.1278,1.4708,4/12/2021,very large female and not in the database-possibly tanner?
2019-66,201901,162,178,2,78.67,0,145.7,1.2533,2.1618,1.4028,1.2586,2.2854,1.429,4/12/2021,very large female and not in the database-possibly tanner?
